id;title;author;genre;publisher;price;image
68;Empire of the Mughal - Ruler of the World;Rutherford, Alex;history;;;
69;Empire of the Mughal - The Serpent's Tooth;Rutherford, Alex;history;;;
70;Empire of the Mughal - The Tainted Throne;Rutherford, Alex;history;;;
71;Eyeless in Gaza;Huxley, Aldous;fiction;;;
72;False Impressions;Archer, Jeffery;fiction;Pan;;
73;Farewell to Arms, A;Hemingway, Ernest;fiction;Rupa;;
74;Final Crisis;Morrison, Grant;comic;;;
75;Flashpoint;Johns, Geoff;comic;;;
76;Foundation: The History of England;Ackroyd, Peter;history;Pan;;
77;Freakonomics;Dubner, Stephen;economics;Penguin;;
78;Free Will;Harris, Sam;philosophy;FreePress;;
79;Freedom at Midnight;Lapierre, Dominique;history;vikas;;
80;From Beirut to Jerusalem;Friedman, Thomas;history;;;
81;Fundamentals of Wavelets;Goswami, Jaideva;signal_processing;Wiley;;
82;Girl who kicked the Hornet's Nest;Larsson, Steig;fiction;;;
83;Girl who played with Fire;Larsson, Steig;fiction;;;
84;Girl with the Dragon Tattoo;Larsson, Steig;fiction;;;
85;God Created the Integers;Hawking, Stephen;mathematics;Penguin;;
86;Grapes of Wrath, The;Steinbeck, John;fiction;;;
87;Great Indian Novel, The;Tharoor, Shashi;fiction;Penguin;;
88;Great War for Civilization, The;Fisk, Robert;history;HarperCollins;;
89;Gun Gayin Awadi;Deshpande, P L;nonfiction;Mauj;;
90;Hafasavnuk;Deshpande P L;fiction;;;
91;Half A Life;Naipaul, V S;fiction;;;
92;Hidden Connections, The;Capra, Fritjof;science;HarperCollins;;
93;History of the DC Universe;Wolfman, Marv;comic;;;
94;History of Western Philosophy;Russell, Bertrand;philosophy;Routledge;;
95;How to Think Like Sherlock Holmes;Konnikova, Maria;psychology;Penguin;;
96;Hunchback of Notre Dame, The;Hugo, Victor;fiction;Random House;;
97;Idea of Justice, The;Sen, Amartya;nonfiction;Penguin;;
98;Identity & Violence;Sen, Amartya;philosophy;Penguin;;
99;Idiot, The;Dostoevsky, Fyodor;fiction;;;
100;Image Processing & Mathematical Morphology;Shih, Frank;signal_processing;CRC;;
101;Image Processing with MATLAB;Eddins, Steve;signal_processing;;;
102;In a Free State;Naipaul, V. S.;fiction;Rupa;;
103;India from Midnight to Milennium;Tharoor, Shashi;history;Penguin;;
104;India's Legal System;Nariman;nonfiction;;;
105;Information, The;Gleick, James;science;;;
106;Integration of the Indian States;Menon, V P;history;Orient Blackswan;;
107;Introduction to Algorithms;Cormen, Thomas;computer_science;MIT Press;;
108;Jim Corbett Omnibus;Corbett, Jim;nonfiction;;;
109;Journal of a Novel;Steinbeck, John;fiction;Penguin;;
110;Journal of Economics, vol 106 No 3;Caroll, Ryder;economics;;;
111;Judge, The;;fiction;;;
112;Jurassic Park;Crichton, Michael;fiction;Random House;;
113;Justice League: The Villain's Journey;;comic;;;
114;Justice League: Throne of Atlantis;;comic;;;
115;Justice, Judiciary and Democracy;Ranjan, Sudhanshu;philosophy;;;
116;Karl Marx Biography;;nonfiction;;;
117;Killing Joke, The;;comic;;;
118;Last Lecture, The;Pausch, Randy;nonfiction;Hyperion;;
119;Last Mughal, The;Dalrymple, William;history;Penguin;;
120;Learning OpenCV;Bradsky, Gary;data_science;O'Reilly;;
121;Let Us C;Kanetkar, Yashwant;computer_science;Prentice Hall;;
122;Life in Letters, A;Steinbeck, John;nonfiction;;;
123;Machine Learning for Hackers;Conway, Drew;data_science;O'Reilly;;
124;Making Software;Oram, Andy;computer_science;O'Reilly;;
125;Manasa;Kale, V P;nonfiction;Mauj;;
126;Maqta-e-Ghalib;Garg, Sanjay;fiction;Mauj;;
127;Maugham's Collected Short Stories, Vol 3;Maugham, William S;fiction;Vintage;;
128;Mein Kampf;Hitler, Adolf;nonfiction;Rupa;;
129;Men of Mathematics;Bell, E T;mathematics;;;
130;Moon and Sixpence, The;Maugham, William S;fiction;;;
131;Moon is Down, The;Steinbeck, John;fiction;Penguin;;
132;More Tears to Cry;Sassoon, Jean;fiction;;;
133;Mossad;Baz-Zohar, Michael;history;;;
134;Murphy's Law;;nonfiction;;;
135;Nature of Statistical Learning Theory, The;Vapnik, Vladimir;data_science;Springer;;
136;Neural Networks;Haykin, Simon;data_science;;;
137;New Machiavelli, The;Wells, H. G.;fiction;Penguin;;
138;New Markets & Other Essays;Drucker, Peter;economics;Penguin;;
139;Numbers Behind Numb3rs, The;Devlin, Keith;science;;;
140;O Jerusalem!;Lapierre, Dominique;history;vikas;;
141;On Education;Russell, Bertrand;philosophy;Routledge;;
142;Once There Was a War;Steinbeck, John;nonfiction;Penguin;;
143;One;Bach, Richard;nonfiction;Dell;;
144;Orientalism;Said, Edward;history;Penguin;;
145;Outsider, The;Camus, Albert;fiction;Penguin;;
146;Oxford book of Modern Science Writing;Dawkins, Richard;science;;;
147;Pattern Classification;Duda, Hart;data_science;;;
148;Phantom of Manhattan, The;Forsyth, Frederick;fiction;;;
149;Philosophy: Who Needs It;Rand, Ayn;philosophy;;;
150;Physics & Philosophy;Heisenberg, Werner;science;Penguin;;
151;Pillars of the Earth, The;Follett, Ken;fiction;Random House;;
152;Pointers in C;Kanetkar, Yashwant;computer_science;;;
153;Political Philosophers;;philosophy;;;
154;Power Electronics - Mohan;Mohan, Ned;computer_science;;;
155;Power Electronics - Rashid;Rashid, Muhammad;computer_science;;;
156;Prince, The;Machiavelli;philosophy;;;
157;Principles of Communication Systems;Taub, Schilling;computer_science;TMH;;
158;Prisoner of Birth, A;Archer, Jeffery;fiction;Pan;;
159;Python for Data Analysis;McKinney, Wes;data_science;O'Reilly;14.99;https://m.media-amazon.com/images/I/818HQ9ckPkL._SY466_.jpg
160;Radiowaril Bhashane & Shrutika;Deshpande, P L;nonfiction;Mauj;;
161;Raisin in the Sun, A;Hansberry, Lorraine;fiction;Penguin;;
162;Rationality & Freedom;Sen, Amartya;economics;Springer;;
163;Return of the Primitive;Rand, Ayn;philosophy;Penguin;;
164;Ropemaker, The;Dickinson, Peter;fiction;;;
165;Rosy is My Relative;Durrell, Gerald;fiction;;;
166;Russian Journal, A;Steinbeck, John;nonfiction;Penguin;;
167;Scoop!;Nayar, Kuldip;history;HarperCollins;;
168;Sea of Poppies;Ghosh, Amitav;fiction;Penguin;;
169;Selected Short Stories;;fiction;Jaico;;
170;Short History of the World, A;Wells, H G;history;;;
171;Signal and the Noise, The;Silver, Nate;data_science;Penguin;;
172;Simpsons & Their Mathematical Secrets;Singh, Simon;science;;;
173;Slaughterhouse Five;Vonnegut, Kurt;fiction;Random House;;
174;Social Choice & Welfare, Vol 39 No. 1;Various;economics;Springer;;
175;Soft Computing & Intelligent Systems;Gupta, Madan;data_science;Elsevier;;
176;Statistical Decision Theory';Pratt, John;data_science;MIT Press;;
177;Statistical Learning Theory;Vapnik, Vladimir;data_science;;;
178;Story of Philosophy, The;Durant, Will;philosophy;Pocket;;
179;Structure & Interpretation of Computer Programs;Sussman, Gerald;computer_science;MIT Press;;
180;Structure and Randomness;Tao, Terence;mathematics;;;
181;Superfreakonomics;Dubner, Stephen;economics;HarperCollins;;
182;Superman Earth One - 1;;comic;;;
183;Superman Earth One - 2;;comic;;;
184;Surely You're Joking Mr Feynman;Feynman, Richard;science;Random House;;
185;Tales of Beedle the Bard;Rowling, J K;fiction;;;
186;Tales of Mystery and Imagination;Poe, Edgar Allen;fiction;HarperCollins;;
187;Talking Straight;Iacoca, Lee;nonfiction;;;
188;Tao of Physics, The;Capra, Fritjof;science;Penguin;;
189;Textbook of Economic Theory;Stonier, Alfred;economics;Pearson;;
190;Theory of Everything, The;Hawking, Stephen;science;Jaico;;
191;Think Complexity;Downey, Allen;data_science;;;
192;To Sir With Love;Braithwaite;fiction;Penguin;;
193;Trembling of a Leaf, The;Maugham, William S;fiction;;;
194;Trial, The;Kafka, Frank;fiction;Random House;;
195;Uncommon Wisdom;Capra, Fritjof;nonfiction;Fontana;;
196;Unpopular Essays;Russell, Bertrand;philosophy;;;
197;Urlasurla;Deshpande P L;fiction;;;
198;Veil: Secret Wars of the CIA;Woodward, Bob;history;;;
199;Veteran, The;Forsyth, Frederick;fiction;Transworld;;
200;Vyakti ani Valli;Deshpande, P L;nonfiction;;;
201;We the Living;Rand, Ayn;fiction;Penguin;;
202;We the Nation;Palkhivala;philosophy;;;
203;We the People;Palkhivala;philosophy;;;
204;Wealth of Nations, The;Smith, Adam;economics;Random House;;
205;Winter of Our Discontent, The;Steinbeck, John;fiction;Penguin;;
206;World's Great Thinkers, The;;philosophy;;;
207;World's Greatest Short Stories, The;;fiction;Jaico;;
208;World's Greatest Trials, The;;history;;;
209;Zen & The Art of Motorcycle Maintenance;Pirsig, Robert;philosophy;Vintage;;
